;Date;Close;Open;High;Low;Vol;Var;Open_Dollar;Open_IBOVESPA;DayofWeek;Weekofyear;Quarter;Month;News_N;News_NN;News_P
0;2020-05-20;21.6;21.93;21.95;21.36;41170000.0;-0.41;5.7559;80746.81;2;21;2;5;0;0;1
1;2020-05-19;21.69;22.63;22.72;21.61;40390000.0;-4.32;5.7192;81196.69;1;21;2;5;0;0;1
2;2020-05-18;22.67;22.45;22.94;22.01;49340000.0;4.81;5.8565;77575.71;0;21;2;5;0;0;1
3;2020-05-15;21.63;22.5;22.77;21.63;37620000.0;-4.08;5.811;79010.59;4;20;2;5;0;0;1
4;2020-05-14;22.55;21.31;22.59;20.73;61540000.0;4.4;5.9248;77770.48;3;20;2;5;0;0;1
5;2020-05-13;21.6;21.74;21.94;21.2;34530000.0;-0.05;5.8863;77876.88;2;20;2;5;1;0;0
6;2020-05-12;21.61;22.51;22.66;21.59;42900000.0;-3.44;5.819;79064.60;1;20;2;5;1;0;0
7;2020-05-11;22.38;22.17;23.03;22.17;37900000.0;0.27;5.7825;80263.42;0;20;2;5;1;0;0
8;2020-05-11;22.38;22.17;23.03;22.17;37900000.0;0.27;5.7825;80263.42;0;20;2;5;1;0;0
9;2020-05-08;22.32;22.02;22.77;21.9;35570000.0;4.1;5.9917;78151.87;4;19;2;5;1;0;0
10;2020-05-07;21.44;22.38;22.48;21.13;52040000.0;-3.6;5.7158;79072.28;3;19;2;5;1;0;0
11;2020-05-06;22.24;22.6;22.78;22.0;28940000.0;-2.03;5.575;79472.78;2;19;2;5;1;0;0
12;2020-05-05;22.7;22.2;23.37;21.91;51630000.0;3.7;5.5424;78887.12;1;19;2;5;0;0;1
13;2020-05-04;21.89;21.95;22.09;21.78;31750000.0;-3.8;5.6141;80501.17;0;19;2;5;1;0;0
14;2020-04-30;22.75;22.58;23.31;22.45;46090000.0;-3.76;5.3346;83169.34;3;18;2;4;0;1;0
15;2020-04-29;23.64;23.98;24.1;23.14;31290000.0;1.33;5.5019;81312.89;2;18;2;4;0;1;0
16;2020-04-28;23.33;22.96;23.59;22.58;57880000.0;8.25;5.6085;78243.32;1;18;2;4;0;1;0
17;2020-04-27;21.56;21.53;22.13;21.09;38290000.0;3.3;5.5427;75334.28;0;18;2;4;0;1;0
18;2020-04-24;20.87;21.73;21.81;20.36;68490000.0;-5.31;5.5339;79666.62;4;17;2;4;0;1;0
19;2020-04-23;22.04;22.65;22.73;21.83;41010000.0;-1.43;5.4557;80690.35;3;17;2;4;0;1;0
20;2020-04-22;22.36;22.39;23.11;22.2;47810000.0;-1.19;5.3184;78972.83;2;17;2;4;0;1;0
21;2020-04-22;22.36;22.39;23.11;22.2;47810000.0;-1.19;5.3184;78972.83;2;17;2;4;0;0;1
22;2020-04-22;22.36;22.39;23.11;22.2;47810000.0;-1.19;5.3184;78972.83;2;17;2;4;0;0;1
23;2020-04-20;22.63;22.71;22.95;22.49;28380000.0;-2.5;5.2864;78988.64;0;17;2;4;0;0;1
24;2020-04-17;23.2;23.42;23.59;22.6;25100000.0;1.8;5.2341;77817.46;4;16;2;4;0;0;1
25;2020-04-16;22.79;23.68;23.8;22.78;30830000.0;-2.52;5.2336;78836.72;3;16;2;4;0;0;1
26;2020-04-15;23.38;23.83;24.46;23.35;34570000.0;-3.7;5.2228;79911.33;2;16;2;4;0;0;1
27;2020-04-14;24.28;24.44;25.13;24.28;33700000.0;1.25;5.1811;78847.67;1;16;2;4;0;0;1
28;2020-04-13;23.98;23.43;23.98;23.0;21410000.0;2.13;5.1219;77681.94;0;16;2;4;0;0;1
29;2020-04-09;23.48;24.44;24.68;23.48;37090000.0;-2.81;5.126;78639.74;3;15;2;4;0;0;1
30;2020-04-08;24.16;22.99;24.37;22.92;40800000.0;5.13;5.2237;76334.79;2;15;2;4;0;0;1
31;2020-04-07;22.98;23.48;23.86;22.9;37960000.0;3.7;5.2817;74078.01;1;15;2;4;0;0;1
32;2020-04-06;22.17;22.13;22.67;21.88;39170000.0;7.36;5.2998;69555.61;0;15;2;4;0;0;1
33;2020-04-03;20.65;21.41;21.47;20.0;37230000.0;-3.91;5.2566;72241.09;4;14;2;4;1;0;0
34;2020-04-02;21.49;21.37;21.99;21.14;39020000.0;0.47;5.2485;70968.53;3;14;2;4;1;0;0
35;2020-04-01;21.39;22.21;22.37;21.18;44030000.0;-7.26;5.2252;73010.78;2;14;2;4;1;0;0
36;2020-03-31;23.06;23.92;24.22;22.78;40240000.0;-4.23;5.1881;74629.42;1;14;1;3;1;0;0
37;2020-03-30;24.08;23.08;24.36;22.8;30150000.0;4.89;5.118;73430.65;0;14;1;3;1;0;0
38;2020-03-27;22.96;23.01;24.0;22.5;41820000.0;-5.28;5.0235;77707.88;4;13;1;3;0;0;1
39;2020-03-26;24.23;24.21;24.8;23.7;50640000.0;2.75;5.0349;74956.05;3;13;1;3;0;0;1
40;2020-03-25;23.58;22.22;24.71;22.0;43670000.0;4.89;5.0995;69727.12;2;13;1;3;0;0;1
41;2020-03-24;22.49;21.69;23.26;21.49;51340000.0;9.65;5.1431;63604.42;1;13;1;3;0;0;1
42;2020-03-23;20.51;22.25;22.48;19.99;53300000.0;-6.94;5.0628;67067.03;0;13;1;3;0;0;1
43;2020-03-20;22.04;23.37;23.95;21.59;73160000.0;-3.5;5.001;68344.38;4;12;1;3;0;0;1
44;2020-03-19;22.84;22.76;23.71;21.12;73410000.0;-2.56;5.1098;66882.80;3;12;1;3;0;0;1
45;2020-03-18;23.43;23.95;24.23;21.53;83590000.0;-6.94;5.0099;74576.38;2;12;1;3;0;0;1
46;2020-03-17;25.18;24.49;26.69;23.48;70170000.0;5.88;5.037;71177.56;1;12;1;3;0;0;1
